station,lat,lon
Airdrie,51.268227,-114.037677
Anzac ,56.44928,-111.03722
Ardrossan,53.5545,-113.1444
Beaverlodge,55.1963,-119.3968
Brooks Airpointer,50.5602515,-111.8480948
Brooks Meadowplace,50.558872,-111.863622
Bruderheim1,53.805629,-112.925851
Calgary Central-Inglewood,51.030789,-114.008836
Calgary Southeast,50.955118,-113.969792
Calgary-Varsity,51.082631,-114.139072
Caroline,51.947025,-114.697645
Cold Lake South,54.4138811,-110.2330575
Conklin,55.63233,-111.078872
Drayton Valley,53.22002357,-114.9839737
Edmonton East,53.54801,-113.36797
Edmonton Lendrum,53.49778,-113.52701
Edmonton McCauley,53.54948,-113.48596
Edmonton-Woodcroft,53.564485,-113.562705
Edson,53.593824,-116.395877
Elk Island,53.68236,-112.86806
Enoch,53.498049,-113.760702
Fort Chipewyan ,58.7084,-111.1764
Fort McKay South ,57.14908,-111.64262
Fort McKay-Bertha Ganter ,57.18945,-111.64045
Fort McMurray-Athabasca Valley,56.73344,-111.39047
Fort McMurray-Patricia McInnes,56.75135,-111.47637
Fort Saskatchewan,53.698833,-113.223194
Fox Creek Info Centre,54.395492,-116.80948
Genesee,53.30156091,-114.2015721
Gibbons,53.827241,-113.327174
Grande Prairie-Henry Pirker,55.176667,-118.8075
Grimshaw AQHI station,56.18657,-117.604994
Hanna Airpointer,51.64236956,-111.928342
Happy Valley,55.752778,-119.086667
High Level,58.521452,-117.162094
Hinton-Drinnan,53.42723159,-117.5439834
Hinton-Hillcrest,53.3927365,-117.5846086
Janvier,55.90329,-110.749756
Jasper,52.8734191,-118.0914761
Lac La Biche ,54.76516,-111.971449
Lamont,53.757334,-112.778004
Lethbridge,49.716184,-112.800586
Medicine Hat-Crescent Heights,50.049003,-110.681328
Okotoks Wylie,50.728571,-113.969207
Raymond Airpointer,49.4621,-112.642376
Red Deer-Lancaster,52.240901,-113.76548
Red Deer-Riverside,52.298677,-113.79354
Redwater,53.951834,-113.105857
Sherwood Park,53.53209,-113.32098
St. Albert,53.626969,-113.611905
St. Lina,54.215961,-111.503304
Steeper,53.1325994,-117.0913947
Stony Mountain,55.62141,-111.17269
Tamarack,54.604935,-110.452637
